单号,单据状态,客户号,客户名称,凭证日期,明细编码,明细货款
XK20230804011,部门领导审核,0769036,东莞清溪广陶建材馆（工程）,2026-04-01,,
XK20250731027,部门领导审核,0754018,汕头市立家建材有限公司,2026-04-01,,
XK20250901027,部门领导审核,0754018,汕头市立家建材有限公司,2026-04-01,,
XK20251230028,部门领导审核,0754018,汕头市立家建材有限公司,2026-04-01,,
XK20260105012,已审核,0759031,湛江市赤坎区广陶外墙设计服务部,2026-04-01,ACF6579109B,"3,844.500"
XK20260105061,部门领导审核,0663019,惠来县和锦建材有限公司,2026-04-01,,
XK20260204013,部门领导审核,0663017,揭阳市漫达建筑有限公司,2026-04-01,,
XK20260303005,部门领导审核,0771006,宾阳县荣锋建材经营部,2026-04-01,,
XK20260311019,起草,0660008,海丰县京砖陶瓷批发部,2026-04-01,,
XK20260313022,部门领导审核,0759031,湛江市赤坎区广陶外墙设计服务部,2026-04-01,,
XK20260313025,部门领导审核,0754018,汕头市立家建材有限公司,2026-04-01,,
XK20260316027,部门领导审核,0734011,耒阳市广陶建材经营部,2026-04-01,,
XK20260320034,部门领导审核,0595004,美林闽泉广陶建材店,2026-04-01,,
XK20260323002,已审核,0510005,扬中市三茅街道小兰陶瓷商行,2026-04-01,ALYG09832D,391.920
XK20260325013,部门领导审核,0758013,广宁广陶陶瓷有限公司,2026-04-01,,
XK20260326025,已审核,0759031,湛江市赤坎区广陶外墙设计服务部,2026-04-01,ACF6509818B,"2,306.700"
XK20260330018,部门领导审核,0768011,汕头市潮南区两英锦发建材经营部,2026-04-01,,
XK20260331024,已审核,0754020,汕头市澄海区世永建材商行,2026-04-01,KGS-R-79122 | KGS-B-002,66.000 | 500.000
XK20260401004,已审核,0754020,汕头市澄海区世永建材商行,2026-04-01,ALYG19465D,"3,266.000"
XK20260401014,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,KGE-W-09832,169.600
XK20260401015,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,,
XK20260401016,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,,
XK20260401017,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,,
XK20260401018,起草,0799003,江西上栗县夏云峰,2026-04-01,,
XK20260401019,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,,
XK20260401020,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,,
XK20260401022,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,DCTD79109B | DCTC09838A,"919.800 | 1,505.880"
XK20260401023,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,AQA6509825A | AOZ879620CH,752.512 | 268.440
XK20260401024,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,DWPB19460B,36.960
XK20260401025,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,ACF6509818B,632.320
XK20260401026,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,DWA6519460B,99.992
XK20260401030,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,4200A013 | 4200A012,0.000 | 492.800
XK20260401033,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,KGK-M-057,"4,818.000"
XK20260401034,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,XGHC13A608A | DCUA79109B | DCUA79109B | DCUA79109B | DCTD79111A,"2,119.600 | 235.800 | 235.800 | 235.800 | 2,677.120"
XK20260401039,已审核,0759031,湛江市赤坎区广陶外墙设计服务部,2026-04-01,ALYG79109D,"5,225.600"
XK20260401041,已审核,0759031,湛江市赤坎区广陶外墙设计服务部,2026-04-01,AQA6549234B | AQA6509816B,362.100 | 603.500
XK20260401043,已审核,0759031,湛江市赤坎区广陶外墙设计服务部,2026-04-01,ACF6579088A,"1,440.600"
XK20260401046,已审核,0757881,广东广陶新材料科技有限公司,2026-04-01,KGE-W-09838,331.200
XK20240617023,部门领导审核,0592001,厦门市湖里区广陶建材经营部,2026-04-02,,
XK20250718016,部门领导审核,0757886,广陶广佛肇,2026-04-02,,
XK20250908004,部门领导审核,0759029,吴川盛林建筑装饰有限公司,2026-04-02,,
XK20250930042,部门领导审核,0757886,广陶广佛肇,2026-04-02,,
